rain_id,return_period_yr,storm_duration_days,shape_param,antecedent_state,total_depth_in,API_7d_mm,API_14d_mm,API_21d_mm,API_30d_mm,n_fs_steps,min_fs_calib_strength,min_fs_step,n_pwp_nodes,pwp_min,pwp_max,solve_time_s,status
55,1.306,4,0.6107,wet,5.4624,117.4,153.1,219.0,347.2,18,0.998964,17,201,-1435.8,3607.0,1104.2,OK
30,34.454,2,0.1057,wet,8.7343,133.8,134.2,168.0,217.1,16,0.998966,15,201,-1435.8,3595.6,564.5,OK
82,4.023,4,0.322,dry,6.7263,3.1,12.5,29.5,73.3,18,0.998964,17,201,-1435.8,3607.0,904.0,OK
5,297.415,6,0.8117,wet,13.6768,124.2,181.3,227.2,240.0,20,0.998963,19,201,-1435.8,3617.6,1060.3,OK
56,324.318,5,0.4434,wet,13.4483,144.4,191.7,198.1,243.7,19,0.998964,18,201,-1435.8,3612.4,1101.8,OK
31,1.182,5,0.5092,normal,5.743,26.7,42.8,63.6,198.3,19,0.998964,18,201,-1435.8,3612.4,1097.7,OK
83,6.622,7,0.6927,wet,8.4262,135.2,167.2,211.2,236.1,21,0.998962,20,201,-1435.8,3622.6,1104.2,OK
6,948.981,3,0.2503,normal,14.2138,21.8,56.5,89.1,166.1,17,0.998965,16,201,-1435.8,3601.4,790.7,OK
57,3.903,6,0.1798,normal,7.4218,27.3,57.1,89.3,196.9,20,0.998963,19,201,-1435.8,3617.6,1027.2,OK
7,103.908,2,0.3353,normal,10.3529,20.7,55.9,81.0,157.9,16,0.998966,15,201,-1435.8,3595.6,611.7,OK
32,435.263,9,0.4267,normal,15.4727,45.1,63.3,101.6,167.5,23,0.998961,22,201,-1435.8,3632.0,1111.1,OK
84,774.74,3,0.1187,dry,13.8847,0.0,14.1,15.2,86.5,17,0.998966,16,201,-1435.8,3593.8,1101.2,OK
58,276.046,9,0.7586,normal,14.7353,42.4,64.8,80.8,92.8,23,0.998961,22,201,-1435.8,3632.0,1024.7,OK
8,18.004,4,0.1426,wet,8.7615,128.7,188.1,238.5,347.0,18,0.998964,17,201,-1435.8,3607.0,1051.6,OK
85,3.0,6,0.3192,dry,7.0892,0.2,3.3,11.3,81.1,20,0.998963,19,201,-1435.8,3617.6,980.5,OK
33,655.991,6,0.7083,dry,14.8992,0.9,3.0,20.9,66.8,20,0.998963,19,201,-1435.8,3617.6,1120.9,OK
59,135.211,9,0.1507,normal,13.6205,47.4,59.1,106.9,161.9,23,0.998961,22,201,-1435.8,3632.0,1096.2,OK
9,213.907,6,0.7953,normal,13.1855,47.4,57.4,73.3,112.9,20,0.998963,19,201,-1435.8,3617.6,1133.5,OK
86,9.68,10,0.632,wet,9.9502,115.9,155.6,209.5,266.3,24,0.998961,23,201,-1435.8,3636.4,1068.4,OK
60,8.83,1,0.1298,dry,6.0201,0.6,9.1,26.3,44.6,15,0.998966,14,201,-1435.8,3589.5,498.6,OK
34,241.306,3,0.6241,normal,12.1555,41.1,79.4,107.1,174.1,17,0.998965,16,201,-1435.8,3601.4,1028.7,OK
10,751.8,7,0.3677,normal,15.4377,32.3,59.7,91.0,91.7,21,0.998962,20,201,-1435.8,3622.6,1021.8,OK
87,443.12,5,0.9005,wet,13.9353,88.4,114.5,263.1,340.7,19,0.998964,18,201,-1435.8,3612.4,1024.8,OK
61,48.43,7,0.8677,normal,11.3469,18.4,32.2,48.2,184.3,21,0.998962,20,201,-1435.8,3622.6,1031.5,OK
35,20.953,4,0.9722,normal,8.9839,40.2,62.1,76.2,125.5,18,0.998964,17,201,-1435.8,3607.0,1013.5,OK
62,159.155,2,0.604,dry,10.9601,3.4,11.4,15.4,24.5,16,0.998966,15,201,-1435.8,3595.6,611.9,OK
11,227.45,3,0.763,wet,12.0744,51.1,163.5,202.0,340.1,17,0.998965,16,201,-1435.8,3601.4,913.6,OK
88,3.567,8,0.2938,normal,7.9369,24.9,29.2,56.9,133.6,22,0.998962,21,201,-1435.8,3627.4,1283.3,OK
63,523.329,2,0.0135,normal,12.6696,33.4,79.6,83.5,144.8,16,0.998966,15,201,-1435.8,3595.6,653.3,OK
12,3.274,2,0.8461,wet,5.5947,72.2,138.5,149.8,286.6,16,0.998966,15,201,-1435.8,3595.6,620.5,OK
36,2.067,7,0.5406,normal,6.9385,23.3,75.2,98.4,183.5,21,0.998962,20,201,-1435.8,3622.6,1246.8,OK
13,675.344,4,0.198,dry,14.1251,3.3,13.5,17.1,33.4,18,0.998964,17,201,-1435.8,3607.0,991.2,OK
89,26.488,5,0.8553,dry,9.7402,2.6,10.0,20.7,30.7,19,0.998964,18,201,-1435.8,3612.4,1062.8,OK
64,32.838,8,0.0776,dry,11.1193,3.9,4.4,7.5,44.9,22,0.998962,21,201,-1435.8,3627.4,1062.6,OK
37,15.339,8,0.0467,wet,9.9677,142.0,146.1,269.7,272.6,22,0.998962,21,201,-1435.8,3627.4,1067.4,OK
14,52.047,5,0.8929,normal,10.7808,37.4,38.1,118.4,177.5,19,0.998964,18,201,-1435.8,3612.4,1064.7,OK
90,7.535,7,0.4651,normal,8.6049,10.6,66.4,106.4,189.0,21,0.998962,20,201,-1435.8,3622.6,1081.5,OK
65,2.664,8,0.2193,normal,7.5652,33.8,55.9,88.1,170.3,22,0.998962,21,201,-1435.8,3627.4,1079.7,OK
38,24.936,8,0.9817,wet,10.6949,123.6,125.1,130.7,289.2,22,0.998962,21,201,-1435.8,3627.4,1044.1,OK
66,4.525,1,0.4369,wet,5.2233,135.6,176.3,188.5,252.6,15,0.998966,14,201,-1435.8,3589.5,668.0,OK
15,343.742,7,0.4886,wet,14.2106,118.4,156.6,260.4,290.9,21,0.998962,20,201,-1435.8,3622.6,1134.6,OK
39,12.758,9,0.5289,normal,10.0427,24.0,35.8,112.6,166.0,23,0.998961,22,201,-1435.8,3632.0,1184.6,OK
91,44.881,6,0.7888,normal,10.909,48.9,64.8,84.7,152.5,20,0.998963,19,201,-1435.8,3617.6,1204.0,OK
67,1.747,9,0.8372,normal,7.3612,29.0,71.9,108.0,138.5,23,0.998961,22,201,-1435.8,3632.0,1167.5,OK
16,112.188,10,0.8243,dry,13.6766,1.2,13.3,17.4,32.1,24,0.998961,23,201,-1435.8,3636.4,1105.8,OK
92,2.346,6,0.0923,normal,6.7917,48.5,64.4,94.7,176.8,20,0.998963,19,201,-1435.8,3617.6,1071.8,OK
40,38.156,7,0.4727,wet,10.9577,149.8,192.7,211.7,347.3,21,0.998962,20,201,-1435.8,3622.6,1075.6,OK
68,77.008,7,0.6594,normal,12.0132,46.8,63.8,103.8,152.1,21,0.998962,20,201,-1435.8,3622.6,1089.2,OK
17,479.688,8,0.1644,normal,15.2058,31.0,71.5,77.2,130.3,22,0.998962,21,201,-1435.8,3627.4,1126.6,OK
41,571.173,10,0.4577,wet,16.3056,81.6,86.9,213.2,255.3,24,0.998961,23,201,-1435.8,3636.4,1112.5,OK
93,263.021,7,0.3524,normal,13.804,29.2,43.5,112.4,198.9,21,0.998962,20,201,-1435.8,3622.6,1118.3,OK
42,5.799,1,0.5317,normal,5.5095,37.7,75.8,108.9,189.4,15,0.998966,14,201,-1435.8,3589.5,588.0,OK
69,1.068,7,0.0232,wet,6.2629,65.4,92.0,191.1,298.7,21,0.998962,20,201,-1435.8,3622.6,1162.5,OK
18,82.999,5,0.5579,wet,11.4484,82.4,85.6,109.8,348.6,19,0.998964,18,201,-1435.8,3612.4,1096.5,OK
94,16.561,3,0.5784,normal,8.2249,9.9,14.9,31.6,129.6,17,0.998965,16,201,-1435.8,3601.4,1081.1,OK
70,199.738,3,0.3412,dry,11.8978,0.5,12.7,26.5,27.6,17,0.998965,16,201,-1435.8,3601.4,836.9,OK
43,14.471,8,0.2471,normal,9.8839,6.0,43.0,78.7,141.5,22,0.998962,21,201,-1435.8,3627.4,1018.4,OK
19,118.686,9,0.5894,wet,13.4219,87.4,174.3,245.2,319.5,23,0.998961,22,201,-1435.8,3632.0,1062.0,OK
95,1.87,8,0.9362,normal,7.1447,43.5,53.5,81.9,158.0,22,0.998962,21,201,-1435.8,3627.4,1054.5,OK
71,189.975,4,0.9276,normal,12.2229,7.2,20.6,35.0,156.4,18,0.998964,17,201,-1435.8,3607.0,946.7,OK
44,2.584,3,0.2684,normal,5.7902,32.3,40.7,89.5,130.7,17,0.998965,16,201,-1435.8,3601.4,944.5,OK
20,853.478,9,0.6444,normal,16.5471,32.0,67.9,108.6,134.9,23,0.998961,22,201,-1435.8,3632.0,938.3,OK
96,171.163,3,0.9122,normal,11.6435,30.4,69.3,97.7,193.7,17,0.998965,16,201,-1435.8,3601.4,921.9,OK
21,147.935,2,0.4119,dry,10.8536,2.2,14.9,17.9,53.3,16,0.998966,15,201,-1435.8,3595.6,538.1,OK
72,129.677,4,0.1895,normal,11.665,37.5,43.5,76.7,166.9,18,0.998964,17,201,-1435.8,3607.0,1073.7,OK
45,20.274,4,0.7111,normal,8.9351,30.3,69.2,78.0,141.9,18,0.998964,17,201,-1435.8,3607.0,1078.7,OK
97,93.048,5,0.7228,wet,11.6181,91.7,154.3,172.1,211.1,19,0.998964,18,201,-1435.8,3612.4,1034.3,OK
73,65.206,2,0.7317,dry,9.6582,2.8,10.2,21.0,76.0,16,0.998966,15,201,-1435.8,3595.6,596.1,OK
22,1.41,4,0.8728,dry,5.5369,3.8,9.6,11.0,35.5,18,0.998964,17,201,-1435.8,3607.0,1080.8,OK
46,83.806,5,0.2748,normal,11.4627,13.5,60.3,101.4,169.3,19,0.998964,18,201,-1435.8,3612.4,1173.1,OK
98,925.648,4,0.0036,dry,14.585,2.7,10.3,24.2,38.5,18,0.998964,17,201,-1435.8,3607.0,1075.8,OK
74,9.823,7,0.1316,normal,8.9839,11.9,71.6,117.9,196.0,21,0.998962,20,201,-1435.8,3622.6,1052.3,OK
23,375.977,6,0.0585,normal,14.0372,6.2,46.3,73.9,113.6,20,0.998963,19,201,-1435.8,3617.6,892.2,OK
47,4.643,4,0.6763,normal,6.9122,30.5,68.6,106.2,108.0,18,0.998964,17,201,-1435.8,3607.0,887.4,OK
75,1.415,1,0.4922,normal,4.0545,44.3,49.9,92.2,131.1,15,0.998966,14,201,-1435.8,3589.5,527.8,OK
99,3.107,5,0.7799,wet,6.7953,123.6,199.8,199.9,227.2,19,0.998964,18,201,-1435.8,3612.4,914.0,OK
24,13.385,5,0.087,dry,8.7498,3.7,11.5,12.9,59.8,19,0.998964,18,201,-1435.8,3612.4,872.6,OK
48,1.54,9,0.6806,normal,7.2258,21.1,61.3,91.7,137.0,23,0.998961,22,201,-1435.8,3632.0,957.4,OK
25,43.566,2,0.5988,dry,9.0743,1.7,3.4,17.0,38.1,16,0.998966,15,201,-1435.8,3595.6,458.6,OK
100,59.599,10,0.9654,normal,12.7461,5.0,17.5,84.8,195.6,24,0.998961,23,201,-1435.8,3636.4,865.2,OK
49,1.138,8,0.5185,dry,6.6302,1.1,13.8,27.1,44.9,22,0.998962,21,201,-1435.8,3627.4,469.6,OK
50,69.505,8,0.288,dry,12.2655,2.4,3.4,12.7,37.8,22,0.998962,21,201,-1435.8,3627.4,331.1,OK
